Date,region ,PRODUCT,Sales,customer_ID,QTY.,notes/remarks
2020/03/19,north,MONITOR,NULL,AFXCecXTWo,50,
N/A,east,NULL,5899.27%,LJaiIRiKiR,-16,TBD
27.05.2020,East,N/A,,CUST2313,,ok
03.10.2020,N0rth,MONITOR,-1,,0,#ERROR
NULL,North ,laptop,0,??,-36,JGscsg%BVWGp
42129,north,ph0ne,999999999,Unknown,-11,
1599091200.0,West,L@ptop,0,N/A,N/A,ok
,WEST,LapTop,  ,,0,
2020-06-29,NULL,TABLET,   ,CUST8845,-28,ROq@zr!vdcTf
,NULL,LAPTOP,NaN,unknown,,
32/13/2023,s0uth,Tablet,6738.74%,N/A,N/A,
"June 21, 2021",N0rth,Phone,-1,Unknown,,see above
0000-00-00,NULL,,#REF!,??,,???
30 May 2020,EAST,Phone,  ,,-13,
NULL,North,Tablet,NULL,C-322-X,UafP,lw#QSRLKEcUk
NULL,W3st,LAPTOP,0,NULL,80,#ERROR
"April 06, 2020",North,LAPTOP,77652.23,62,,N/A
09 May 2020,West,,₹1931.35,77,-18,QXvsTCiHxJZm
2020/11/29,EAST!,t@blet,60651609.32,N/A,,
2020-01-16,east,Monitor,NULL,N/A,N/A,N/A
LqSoYDod,E@st,MONITOR,999999999,NULL,9999999,#ERROR
09 Sep 2020,south,,#VALUE!,,Bttc,TBD
32/13/2023,EAST,???,812148340.94,,BZ@L,
10-30-2020,--,laptop,0,UNKNOWN,ePJW,see above
1608681600.0,NaN,ph0ne,NaN,IPq#DoegEQ,,TBD
04-18-2020,--,,-10115.39,??,,TBD
24.02.2020,North ,NULL,#REF!,!fWJtEEFYG,N/A,
NULL,west,NaN,N/A,,,EKCjKMHDA$fY
NULL,SOUTH,,36878.44,C-160-X,N/A,#ERROR
25.01.2020,Nörth,m0nitor,NaN,leqADzlwvh,27,TBD
17 Jun 2020,W3st,Monitor,#VALUE!,CUST5095,,#ERROR
NULL,EAST!,TABLET,NULL,1,0,msv!lyoLYNMs
rvAIqfA@,south,PHONE#,999999999,NULL,eZPQ,uKmujkwsGWkv
N/A,SOUTH,PHONE,,94,9999999,#ERROR
06/02/2021,NaN,,NaN,NULL,9999999,
"November 02, 2020",EAST!,Laptop,-96685.21,1,,see above
2020-09-12,NORTH,laptop!,996760103.21,,18,N/A
04 Jan 2021,west.,TABLET,0,53,NiGT,ok
13/01/2021,WEST,Phone,,??,N/A,???
2020-05-12,WEST,NaN,Cxs!!,Unknown,,
2020-01-19,s0uth,Phone,367297545.23,,9999999,ok
11 Dec 2020,s0uth,PHONE#,N/A,NULL,,see above
32/13/2023,EAST,N/A,,CUST4121,9999999,
02 Jul 2020,EAST,LAPTOP,0,UNKNOWN,9999999,
"August 16, 2020",NORTH,PHONE,999999999,,9999999,TBD
2020/06/02,west,Phöne,,CUST2121,-30,rzR%ll%fwCAL
NULL,  South,,amQrm,NULL,,
